# Revision 1.3 Aug-2016,Added QFN48,,,,,,,,,,,
# Revision 1.2 Mar-2012,,,,,,,,,,,,
,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,I/O Grouping,CSBGA132,TQFP100,UCBGA64,QFN32,QFN48
1,PL2A,3,-,True_OF_PL2B,-,-,+,C1,1,A1,-,2
2,NC,-,-,-,-,-,+,-,-,-,-,-
3,PL2B,3,-,Comp_OF_PL2A,-,-,+,C3,2,B1,-,3
4,PL2C,3,PCLKT3_2,True_OF_PL2D,-,-,+,C2,3,C2,-,4
5,NC,-,-,-,-,-,+,-,-,-,-,-
6,PL2D,3,PCLKC3_2,Comp_OF_PL2C,-,-,+,D1,4,C1,-,5
7,VCCIO3,3,-,-,-,-,+,D3,5,E3,-,6
8,NC,-,-,-,-,-,+,-,-,-,-,-
9,GND,-,-,-,-,-,-,D2,6,E4,-,GND
10,PL3A,3,-,True_OF_PL3B,-,-,-,E1,7,-,-,7
11,NC,-,-,-,-,-,-,-,-,-,-,-
12,PL3B,3,-,Comp_OF_PL3A,-,-,-,E2,8,-,-,8
13,NC,-,-,-,-,-,-,-,-,-,-,-
14,PL3C,3,PCLKT3_1,True_OF_PL3D,-,-,-,G3,12,D1,-,9
15,PL3D,3,PCLKC3_1,Comp_OF_PL3C,-,-,-,H2,13,D2,-,10
16,NC,-,-,-,-,-,-,-,-,-,-,-
17,PL5A,3,-,True_OF_PL5B,-,-,-,J1,16,E1,-,11
18,PL5B,3,-,Comp_OF_PL5A,-,-,-,J2,17,E2,-,12
19,NC,-,-,-,-,-,-,-,-,-,-,-
20,PL5C,3,PCLKT3_0,True_OF_PL5D,-,-,-,K1,20,F1,4,-
21,PL5D,3,PCLKC3_0,Comp_OF_PL5C,-,-,-,K3,21,F2,5,-
22,NC,-,-,-,-,-,-,-,-,-,-,-
23,GND,-,-,-,-,-,+,L2,22,D4,-,GND
24,VCCIO3,3,-,-,-,-,+,L1,23,D3,6,-
25,PL6A,3,-,True_OF_PL6B,-,-,+,M1,24,G1,-,-
26,PL6B,3,-,Comp_OF_PL6A,-,-,+,M2,25,H1,-,-
27,VCCIO2,2,-,-,-,-,-,P1,26,F5,7,13
28,NC,-,-,-,-,-,-,-,-,-,-,-
29,NC,-,-,-,-,-,-,-,-,-,-,-
30,PB2A,2,CSSPIN,True_OF_PB2B,-,-,-,P3,27,G2,8,14
31,PB2B,2,-,Comp_OF_PB2A,-,-,-,M3,28,H2,-,15
32,NC,-,-,-,-,-,-,-,-,-,-,-
33,PB2C,2,MCLK/CCLK,True_OF_PB2D,-,-,-,M4,31,G3,9,16
34,NC,-,-,-,-,-,-,-,-,-,-,-
35,PB2D,2,SO/SPISO,Comp_OF_PB2C,-,-,-,N4,32,H3,10,17
36,GND,-,-,-,-,-,+,P5,33,F6,-,GND
37,NC,-,-,-,-,-,+,-,-,-,-,-
38,PB4A,2,PCLKT2_0,True_OF_PB4B,-,-,+,N6,34,G4,11,18
39,PB4B,2,PCLKC2_0,Comp_OF_PB4A,-,-,+,P6,35,H4,12,19
40,NC,-,-,-,-,-,+,-,-,-,-,-
41,PB4C,2,PCLKT2_1,True_OF_PB4D,-,-,+,M7,38,G5,13,20
42,PB4D,2,PCLKC2_1,Comp_OF_PB4C,-,-,+,N8,39,H5,14,21
43,PB7A,2,-,True_OF_PB7B,-,-,+,P8,40,-,-,-
44,PB7B,2,-,Comp_OF_PB7A,-,-,+,M8,41,-,-,-
45,PB7C,2,-,True_OF_PB7D,-,-,+,M9,42,-,-,-
46,NC,-,-,-,-,-,+,-,-,-,-,-
47,PB7D,2,-,Comp_OF_PB7C,-,-,+,N10,43,H6,-,-
48,GND,-,-,-,-,-,-,P10,44,F3,-,GND
49,NC,-,-,-,-,-,-,-,-,-,-,-
50,VCCIO2,2,-,-,-,-,-,N11,46,F4,15,22
51,PB9A,2,SN,True_OF_PB9B,-,-,-,N12,48,G6,16,23
52,NC,-,-,-,-,-,-,-,-,-,-,-
53,PB9B,2,SI/SISPI,Comp_OF_PB9A,-,-,-,P13,49,H7,17,24
54,NC,-,-,-,-,-,-,-,-,-,-,-
55,VCC,-,-,-,-,-,-,P14,50,G7,18,25
56,PR6D,1,-,Comp_OF_PR6C,-,-,+,N14,51,H8,-,26
57,NC,-,-,-,-,-,+,-,-,-,-,-
58,PR6C,1,-,True_OF_PR6D,-,-,+,N13,52,G8,-,27
59,PR6B,1,-,Comp_OF_PR6A,-,-,+,M13,53,F7,-,28
60,NC,-,-,-,-,-,+,-,-,-,-,-
61,PR6A,1,-,True_OF_PR6B,-,-,+,L14,54,F8,-,29
62,VCCIO1,1,-,-,-,-,+,L12,55,E6,19,30
63,GND,-,-,-,-,-,-,L13,56,E5,-,GND
64,NC,-,-,-,-,-,-,-,-,-,-,-
65,PR5D,1,-,Comp_OF_PR5C,-,-,-,K14,57,-,-,31
66,PR5C,1,-,True_OF_PR5D,-,-,-,K13,58,-,-,32
67,PR5B,1,PCLKC1_0,Comp_OF_PR5A,-,-,-,H12,62,E7,20,33
68,PR5A,1,PCLKT1_0,True_OF_PR5B,-,-,-,G13,63,E8,21,34
69,NC,-,-,-,-,-,-,-,-,-,-,-
70,PR3D,1,-,Comp_OF_PR3C,-,-,-,F14,66,D7,-,35
71,PR3C,1,-,True_OF_PR3D,-,-,-,F13,67,D8,-,36
72,NC,-,-,-,-,-,-,-,-,-,-,-
